location_id,sensing_date,hour_of_day,direction_1,direction_2,total_of_directions,sensing_datetime
9,2025-11-09,12,57,85,142,2025-11-09 12:00:00+11:00
27,2025-11-09,22,17,33,50,2025-11-09 22:00:00+11:00
5,2025-11-09,0,200,170,370,2025-11-09 00:00:00+11:00
27,2025-11-09,8,59,35,94,2025-11-09 08:00:00+11:00
3,2025-11-09,19,874,925,1799,2025-11-09 19:00:00+11:00
53,2025-11-09,22,35,118,153,2025-11-09 22:00:00+11:00
9,2025-11-09,19,49,36,85,2025-11-09 19:00:00+11:00
3,2025-11-09,14,1516,1383,2899,2025-11-09 14:00:00+11:00
3,2025-11-09,7,33,43,76,2025-11-09 07:00:00+11:00
5,2025-11-09,2,31,75,106,2025-11-09 02:00:00+11:00
5,2025-11-09,7,53,69,122,2025-11-09 07:00:00+11:00
3,2025-11-09,11,535,741,1276,2025-11-09 11:00:00+11:00
1,2025-11-09,16,1582,1392,2974,2025-11-09 16:00:00+11:00
9,2025-11-09,10,44,57,101,2025-11-09 10:00:00+11:00
3,2025-11-09,1,227,221,448,2025-11-09 01:00:00+11:00
1,2025-11-09,20,411,409,820,2025-11-09 20:00:00+11:00
3,2025-11-09,15,1264,1351,2615,2025-11-09 15:00:00+11:00
1,2025-11-09,4,8,11,19,2025-11-09 04:00:00+11:00
1,2025-11-09,12,1333,1222,2555,2025-11-09 12:00:00+11:00
3,2025-11-09,9,180,184,364,2025-11-09 09:00:00+11:00
27,2025-11-09,18,81,109,190,2025-11-09 18:00:00+11:00
1,2025-11-09,3,20,39,59,2025-11-09 03:00:00+11:00
53,2025-11-09,13,759,528,1287,2025-11-09 13:00:00+11:00
53,2025-11-09,4,12,10,22,2025-11-09 04:00:00+11:00
53,2025-11-09,5,2,2,4,2025-11-09 05:00:00+11:00
53,2025-11-09,19,196,173,369,2025-11-09 19:00:00+11:00
3,2025-11-09,17,1018,1298,2316,2025-11-09 17:00:00+11:00
27,2025-11-09,1,3,15,18,2025-11-09 01:00:00+11:00
27,2025-11-09,7,23,22,45,2025-11-09 07:00:00+11:00
27,2025-11-09,11,239,242,481,2025-11-09 11:00:00+11:00
53,2025-11-09,11,605,478,1083,2025-11-09 11:00:00+11:00
9,2025-11-09,6,10,10,20,2025-11-09 06:00:00+11:00
27,2025-11-09,2,4,6,10,2025-11-09 02:00:00+11:00
5,2025-11-09,12,697,1079,1776,2025-11-09 12:00:00+11:00
1,2025-11-09,11,1022,1049,2071,2025-11-09 11:00:00+11:00
1,2025-11-09,17,1430,1086,2516,2025-11-09 17:00:00+11:00
5,2025-11-09,6,19,18,37,2025-11-09 06:00:00+11:00
9,2025-11-09,3,5,4,9,2025-11-09 03:00:00+11:00
9,2025-11-09,17,62,53,115,2025-11-09 17:00:00+11:00
5,2025-11-09,4,16,20,36,2025-11-09 04:00:00+11:00
5,2025-11-09,18,777,1033,1810,2025-11-09 18:00:00+11:00
27,2025-11-09,13,289,246,535,2025-11-09 13:00:00+11:00
27,2025-11-09,14,218,270,488,2025-11-09 14:00:00+11:00
27,2025-11-09,19,58,103,161,2025-11-09 19:00:00+11:00
3,2025-11-09,22,576,355,931,2025-11-09 22:00:00+11:00
1,2025-11-09,9,296,345,641,2025-11-09 09:00:00+11:00
53,2025-11-09,14,723,559,1282,2025-11-09 14:00:00+11:00
53,2025-11-09,1,44,60,104,2025-11-09 01:00:00+11:00
5,2025-11-09,22,303,424,727,2025-11-09 22:00:00+11:00
53,2025-11-09,8,73,46,119,2025-11-09 08:00:00+11:00
3,2025-11-09,6,25,14,39,2025-11-09 06:00:00+11:00
53,2025-11-09,23,26,89,115,2025-11-09 23:00:00+11:00
5,2025-11-09,8,169,165,334,2025-11-09 08:00:00+11:00
5,2025-11-09,9,310,330,640,2025-11-09 09:00:00+11:00
1,2025-11-09,8,106,61,167,2025-11-09 08:00:00+11:00
53,2025-11-09,17,406,330,736,2025-11-09 17:00:00+11:00
